,х1,х2,х3,х4,х5,х6,х7,х8,х9,х10,х11,х12,х13,х14,х15,х16,х17,Y
202,2,"61,10061646","0,5",0,0,0,0,"47,25","46,5",51,3,"-2,25",80,"22,92","3,55","4,06","118,4",19
203,1,"60,15058136","0,05","5,5",-5,175,"0,7","46,25",41,86,"5,75","-5,25",176,"22,38","2,59","4,9","119,2",25
204,2,"72,09034729","0,04",-7,-1,115,"0,2","43,5","42,75",78,-7,"-1,25",123,"25,42","3,63","3,81","118,5",16
205,2,"61,82888412","0,3",0,0,0,0,"44,25","43,75",128,2,"-0,5",85,"24,12","3,67","3,48","118,8","18,5"
206,1,"49,0978775","0,05",-5,"-2,5",25,"0,3","45,5","43,5",110,"-4,75","-2,5",24,"25,19","3,38","4,32","118,8","14,5"
207,2,"81,88911438","0,05",-3,0,0,"0,3","44,25",44,149,-2,"-0,5",57,"24,88","3,72","3,9","118,5",16
208,2,"74,17658997","0,05","-2,75",-2,110,"0,2","44,75","44,25",5,"-2,75",-2,108,"22,55","3,33","4,42","118,6","22,5"
209,2,"71,6605072","0,05",-3,"-0,5",115,"0,4",44,"43,5",24,-3,"-0,5",115,"23,15","3,64","4,11","118,8","21,5"
210,2,"40,65982056","0,03",-9,0,0,"0,9","45,75",45,75,"-8,5","-0,5",140,"25,74","3,35","4,33","119,1",12
211,2,"70,66666412","0,16","2,5","-1,5",95,"0,4","44,75","44,25",164,3,"-1,75",95,"21,82","2,65","4,37","118,5",25
212,2,"42,46953964","0,2","2,5",-1,150,"0,5",44,"42,75",65,"2,75","-0,75",147,"22,21","3,31","4,04","118,5","25,5"
213,1,"48,35865784","0,03","-10,5","-1,5",55,"0,3","41,75",41,103,"-10,5",-2,58,"24,37","3,46","4,34","118,5","20,5"
214,1,"79,70157623","0,1","-0,5",-1,175,"0,4","43,75","42,5",85,"-0,5","-1,25",178,"23,28","2,98","4,6","118,5","21,5"
215,1,"73,0513382","0,4",4,-2,5,"0,9","44,75","42,75",97,"4,25",-2,6,"21,95","2,5","4,22","118,5","25,5"
216,2,"70,0479126","0,4",2,-1,10,"0,6","46,75",45,91,"2,25","-1,25",12,"22,41","3,01","4,46","118,5",21
217,1,"73,28131104","0,1","-3,5",-1,90,"0,7",45,44,160,"-3,25","-1,25",86,"24,01","3,05","4,77","118,5","18,5"
218,2,"67,78644562","0,1","2,5",0,0,"0,5","43,5","43,25",50,3,"-0,25",114,"23,28","3,2","4,72","118,5","21,5"
219,1,"52,77207565","0,1",2,0,0,"0,8","43,75","42,75",73,2,"-0,25",130,"23,48","2,96","4,01","118,8","20,5"
220,2,"62,94592667","0,05",-4,-1,110,"0,1","44,75","44,25",59,-4,"-1,25",109,"23,67","3,71","3,94","118,5",20
221,1,"85,28952789","0,5","1,25",-1,105,0,44,43,172,"1,75","-1,25",107,"24,09","3,43","4,59","118,8",19
222,2,"71,08555603","0,2","-1,5","-0,5",85,"0,5","46,25",46,154,"-1,5","-0,5",82,"21,88","2,82","5,02","118,6","23,5"
223,1,"71,45790863","0,1","-1,25",-2,10,"0,6",46,44,97,"-1,25","-1,75",10,"24,64","3,01","5,12","119,2",16
224,1,"76,96920013","0,05",-4,0,0,"0,2","46,5","45,5",64,"-4,25","-1,25",132,"23,43","3,06","4,24","118,8",19
225,2,"71,40314484","0,4",0,0,0,0,46,"44,75",11,"0,75","-0,25",178,"22,35","2,33","4,76","118,8",22
226,1,"72,52566528","0,05",-4,"-0,5",85,"0,4",45,"44,5",148,"-3,75","-0,75",86,"22,85","2,73","4,87",119,22
227,2,"64,8542099","0,2",1,"-1,5",75,"0,3","43,5","43,25",9,"1,25","-1,75",77,"22,56","2,82","4,51","118,6",24
228,2,"72,06023407","0,7","0,5","-0,5",160,"0,8","43,75","43,5",38,"0,75","-0,5",159,"23,63","3,01",0,"118,5","20,5"
229,2,"61,69472885","0,1","3,25",0,0,"0,8",44,"43,25",93,"3,75","-0,25",80,"22,41","2,78","4,78","118,5",24
230,2,"82,3189621","0,03","-8,5",-1,125,"0,4","45,75","45,5",68,"-8,75",-1,129,"24,88","3,47","4,28","118,5",16
231,2,"65,23751068","0,05","-4,5","-2,5",160,"0,7","46,5","44,75",77,"-4,5","-2,75",163,"25,24","3,51","4,19","118,5","13,5"
232,2,"74,75975037","0,05",-12,0,0,"0,2","47,75","44,5",88,-12,"-2,5",172,"26,1","3,12","4,73","118,5","12,5"
233,2,"63,46885681","0,5",0,0,0,0,"47,25","46,75",115,"-0,25","-0,25",92,"22,46","3,51","4,03","118,5",21
234,1,"71,13757324","0,6","0,75","-0,75",90,"0,8",44,"43,75",168,"1,25","-0,75",87,"23,87","3,08","4,93","118,5","19,5"
235,2,"64,61875153","0,2",-1,"-0,75",135,"0,3","42,75","41,75",65,-1,"-0,75",133,"25,14","2,62","4,46","118,5",19
236,2,"67,36208344","0,05","-2,5",-1,90,"0,7","44,75","44,5",134,"-2,25",-2,90,"23,9","3,77","4,04","118,5",18
237,2,"70,02326965","0,05","-5,5",-1,135,"0,4",46,45,70,"-5,25","-1,25",134,"23,63","2,78","4,81",119,"18,5"
238,1,"73,47843933","0,3","0,75",-2,85,"0,5","43,25",42,179,1,"-2,5",85,"23,84","2,67","4,7","118,8",21
239,1,"70,74332428","0,1",0,0,0,0,"43,25",43,97,"-0,5",0,0,"23,42","3,41","4,08","118,5","21,5"
240,2,"53,29500198","0,2",0,0,0,0,"45,25","43,75",85,"-0,5","-0,5",87,"23,51","3,68","3,69","118,5","20,5"
241,1,"50,46406555","0,3",0,0,0,0,43,"42,25",172,"-1,25","-0,75",97,"23,27","2,81","5,01","118,5",23
242,2,"53,78507996","0,09",0,0,0,0,"44,5","43,5",159,0,"-1,5",65,"23,51","5,54",0,"118,5",20
243,1,"71,25256348","0,05","-2,5",0,0,0,44,"43,5",88,"1,25","-0,75",120,"23,56","3,19","4,5","118,5","20,5"
244,1,"58,7323761","0,3","2,5",0,0,"0,9",45,"43,75",74,"2,75","-0,5",130,"23,16","3,23","3,97","119,1",22
245,1,"47,17316818","0,3","-1,5",-4,0,"0,8",45,41,86,"-1,5","-4,75",179,"25,08","3,25","4,75","119,2","17,5"
246,1,"85,14989471","0,2","0,75","-1,5",70,"0,3","43,5",43,167,1,"-1,75",70,"23,52","2,46",5,"118,5","21,5"
247,2,"59,72895432","0,03",-5,-3,80,"0,3",44,"42,5",173,-5,"-3,5",79,"25,8","3,71","4,33","118,8",16
248,1,"67,21697235","0,05","-3,5","-1,5",55,"0,4","45,25","44,75",77,"-3,5","-1,5",57,"23,98","3,81","4,17","118,8",18
249,2,"65,35797119","0,02",-9,"-1,5",120,"0,1","44,25","42,5",32,-8,-5,89,"27,79","3,01","4,5","118,6",11
250,2,"70,8062973","0,2",0,0,0,0,"39,75","39,25",71,"0,5","-0,75",84,"25,08","3,29","4,57","118,8","22,5"
251,2,"61,53046036","0,16",-1,"-2,5",170,"0,4",46,"43,25",84,"-0,75","-2,75",170,"25,25","3,53","3,59","118,5",14
252,2,"66,59822083","0,05","3,5",0,0,"0,3","44,5","44,25",79,"3,75","-0,75",106,22,"2,96","4,43","118,8",25
253,2,"74,12457275","0,03","-4,5",0,0,"0,3","44,75","44,25",46,"-4,5",0,0,"23,19","2,79","5,31","118,5",21
254,2,"69,23477173","0,1","2,5",0,0,1,43,"42,25",81,"2,75",0,0,"24,03","3,48","4,56","118,5","20,5"
255,2,"72,93907928","0,1",-2,-1,60,"0,4",47,"46,75",38,"-1,75","-1,25",61,"22,59","3,1","4,81",119,"20,5"
256,1,"53,49486542","0,05",-4,"-2,5",70,"0,2","44,5",43,158,"-4,25",-3,69,"25,44","3,22","4,36","118,8",15
257,1,"72,69267273","0,4","0,5","-0,5",105,"0,5","42,25","41,75",20,"0,5","-0,5",104,"23,5","2,93","4,86","118,5",22
258,2,"70,88569641","0,05","-2,5",-1,80,"0,16","44,75","44,5",116,"-2,25","-1,5",78,"22,63","3,53","3,99","118,8",23
259,2,"46,31348419","0,05","-1,75","-1,5",170,"0,4","46,5","44,75",80,"-3,25","-0,75",173,"21,93","3,51","3,77","119,1",25
260,2,"82,02874756","0,05","-3,5",0,0,"0,4","45,25",45,126,"-3,25","-0,25",67,"22,46","2,62","4,49","118,6","22,5"
261,1,"81,55509949","0,03",0,0,0,0,"47,5","45,5",16,"3,5","-1,75",87,"22,49","3,05","4,5","118,8","21,5"
262,1,"60,64613342","0,2","2,5",0,0,"0,9","45,5","45,25",87,"2,75",0,0,"22,79","3,4","3,92","118,5",22
263,2,"62,18754196","0,03","-6,5","-1,5",0,"0,4","42,5",41,88,"-5,25","-1,75",162,"25,62","3,74",0,"118,5",17
264,2,"74,96235657","0,16","-1,5","-0,75",130,"0,4","43,75",43,79,"-1,25","-0,75",131,"24,35","3,28","4,64","118,6","18,5"
265,2,"71,70431519","0,1",-3,0,0,"0,3",45,"44,75",98,"-2,25",-2,12,23,"3,48","3,88","118,5",21
266,2,"86,54346466","0,04","-1,5",-1,75,"0,1","45,25",45,5,"-1,25","-1,5",77,"23,12","2,53","4,55","118,5",20
267,2,"44,5092392","0,05","-4,5",0,0,1,"42,75",42,76,"-4,5","-0,25",134,26,"3,98","3,84","119,1",16
268,2,"68,60780334","0,03","7,5","-0,5",150,"0,3","44,5",44,64,"8,25","-0,5",139,"20,71","3,27","4,02","118,8",31
269,1,"82,25051117","0,1","-1,5",-1,85,"0,4","44,75","44,5",152,"-1,5",-1,83,"23,92","3,62","4,28","118,5","18,5"
270,2,"78,45584869","0,16",0,0,0,0,"44,25","43,75",29,"1,25","-0,5",80,23,"3,51","4,19","118,5",22
271,1,"62,79260635","0,2",-2,"-0,75",5,"0,5",46,44,91,-2,"-1,25",4,"23,64","3,53","4,44","118,5","19,5"
272,2,"84,22998047","0,4",0,"-1,5",85,"0,5",46,"44,5",180,"0,25","-1,75",84,"22,69","2,7","4,53","118,8","21,5"
273,2,"65,16085052","0,4",2,0,0,"0,9","44,75","44,25",97,"2,25","-0,5",45,"22,36","2,59","4,89","118,8",23
274,2,"63,12662506","0,4",1,0,0,"0,8","45,25",45,78,"1,25","-0,25",64,"23,06","3,28","4,3","118,5","20,5"
275,2,"40,82409286","0,03","-9,5",-2,85,"0,7","43,5","42,75",173,"-10,25",-2,85,"27,3","3,56","4,15","118,8",11
276,2,"71,42504883","0,1",4,0,80,1,"44,5","44,25",29,"4,5",-1,82,"21,97","2,41","4,35",119,"25,5"
277,1,"68,76112366","0,1","-2,5",-1,150,"0,5","42,5","42,5",180,"-2,5",-1,152,"24,39","3,03","4,31",119,"19,5"
278,2,"83,586586","0,4","2,75",-1,95,"0,6","45,25",45,86,"3,25","-1,25",93,"21,94","2,76","5,1","118,5","24,5"
279,1,"78,33812714","0,2",0,0,0,0,43,"42,5",178,"1,5","-1,5",80,"23,46","3,2","4,82","118,8","22,5"
280,2,"66,21492004","0,2","1,5",0,0,"0,9","45,5","44,5",82,"1,75",0,0,"22,52","2,46","5,3","118,8","22,5"
281,2,"82,47775269","0,03","-4,5",-3,80,"0,3","48,25","46,5",176,-4,"-3,5",81,"23,45","3,25","4,84","118,5",17
282,2,"74,4668045","0,5","0,5",0,0,0,"42,75","42,5",4,"0,5","-0,25",91,"22,94","2,33","5,19","118,5",24
283,1,"75,36482239","0,3",0,0,0,0,"42,25",42,154,"0,75","-1,25",66,"24,7","3,29",0,"118,8",19
284,2,"72,44900513","0,5",1,"-0,5",120,"0,7","47,25","46,25",85,"1,25","-0,5",118,"22,09","2,79","5,11","118,5","22,5"
285,2,"75,16769409","0,16","-1,75","-0,5",130,"0,3","46,25","45,25",51,"-1,5","-0,75",129,23,"2,85","4,47",119,22
286,2,"69,91101837","0,03",-11,"-1,5",163,"0,4",47,"45,75",78,-11,"-1,5",165,"26,08","3,84","4,84","118,5",10
287,2,"57,31143188","0,02","-9,5",0,0,"0,3",44,"43,5",90,"-9,75","-0,75",149,"24,66","3,33","4,21",119,17
288,2,"80,13689423","0,16",-1,-1,110,"0,4","45,25","44,25",14,-1,"-1,25",107,"23,86","2,96","5,44","118,5","18,5"
289,2,"69,9794693","0,03","-5,5",-3,109,"0,2",43,"42,5",106,"-5,75","-3,25",109,"23,97","3,13","3,82","119,1","20,5"
290,2,"68,05201721","0,3","1,5",0,0,"0,7","42,75",42,77,"1,75","-0,5",106,"24,5","3,41",0,"118,5",19
291,2,"83,29911041","0,1","-1,5",0,0,"0,6",46,"45,25",51,-1,"-0,5",86,"23,76","2,81","4,82","118,5","17,5"
292,1,"70,22860718","0,6","2,5",-1,90,1,"43,75","43,5",22,"2,75",-1,92,"23,42","3,24","4,66","118,5",21
293,2,"53,56057358","0,02","-12,5",-4,170,"0,3","45,25","42,5",81,"-12,25","-4,25",169,"27,69","3,28","4,09","119,2","9,5"
294,2,"77,4373703","0,05",0,0,0,0,"45,5","45,25",167,"1,25","-0,25",104,"21,91","2,87","4,77",119,"24,5"
295,2,"47,3210144","0,4","2,25","-0,5",60,1,"44,75","43,75",93,"2,5","-0,5",58,"21,9","2,94","4,38","119,1","25,5"
296,2,"64,91444397","0,3",3,-1,85,"0,8","45,25","44,5",166,"3,5","-1,25",83,"22,38","2,66","4,58","118,5",23
297,2,"53,57426453","0,05","4,5",0,0,"0,3",45,"44,75",86,"4,75","-0,5",93,"21,3","2,81","4,79","118,5",27
298,1,"82,74606323","0,2",0,0,0,0,"47,5",47,94,"0,75","-2,25",65,"24,29","3,04","4,51","118,8",21
299,2,"82,25872803","0,16","-1,75","-0,5",60,"0,6",45,"44,5",161,"-1,75","-0,75",60,"25,23","3,12","4,09","118,5",14
300,1,"69,58521271","0,03",-8,0,0,"0,2",42,"40,75",147,-8,"-0,25",134,"24,39","3,58","3,96","118,5",22
301,2,"51,14305115","0,2","1,75",0,0,1,"45,25",44,85,2,"-0,5",169,"22,42","2,89","4,21","119,1",24
302,1,"62,00136948","0,1","-2,5",0,0,"0,4",42,"41,75",32,"-2,5",0,0,"24,67","3,82","3,9","119,1",20
303,1,"53,1827507","0,1","-3,5","-3,5",0,"0,3","48,25","44,75",91,"-3,25","-3,5",178,"24,47","3,39","4,24","119,2","15,5"
304,2,"69,28952789","0,03","-8,5",-2,80,"0,3","44,5",44,52,-8,"-2,25",80,"25,69","3,41","3,96","118,8","13,5"
305,2,"31,92333984","0,03","-7,5",-4,25,"0,7","46,75","44,25",109,"-7,25",-4,24,"25,45","3,95","3,75","119,1","12,5"
306,1,"78,70773315","0,16",-1,-1,95,"0,3","43,25","42,5",2,"-0,75","-1,25",97,"24,62","3,13","4,96","118,5","18,5"
307,1,"82,89116669","0,5",2,-2,75,"0,8",47,"45,75",6,"2,25",-2,76,"22,36","2,33","5,62","118,5","22,5"
308,2,"70,26146698","0,05","2,75","-0,5",65,"0,4","42,25",42,70,3,"-0,5",63,23,"2,89","4,27","118,5",24
309,2,"62,02327347","0,16","1,75",0,0,"0,8","45,25",44,75,"2,25","-0,25",2,"22,46","3,06","4,57","118,5",23
310,2,"68,89801788","0,3",2,-1,80,"0,4","44,25","43,75",6,"2,5","-1,25",80,"23,12","2,83","4,41","118,5",22
311,2,"76,34770966","0,5","0,5","-1,5",105,"0,6",45,"43,5",9,"0,5","-1,5",104,"24,16","3,62","4,23","118,5",18
312,2,"78,71868896","0,8",0,0,0,0,"44,25","43,75",180,"1,75",-1,137,"22,19","2,53","5,42","118,5","24,5"
313,2,"65,96030426","0,05","-6,5",-1,35,"0,4","44,75","44,25",128,"-6,75",-2,38,"24,82","4,14","4,18","118,5","16,5"
314,1,"72,30390167","0,05","-2,5",0,0,"0,2","43,5","42,75",11,"-2,25",0,0,"23,34","3,37","3,96","118,6","21,5"
315,1,"59,52087784","0,2","2,25","-1,5",25,"0,8","42,75","41,5",109,"2,5","-1,5",25,"24,76","3,79","3,82","118,5",19
316,2,"69,45927429","0,05","-3,5","-2,5",85,"0,5","44,25","42,25",4,-3,"-2,5",87,"26,41","3,19","4,23","118,6","13,5"
317,2,"81,23751068","0,2",0,-1,85,"0,3","42,5","41,75",157,"-0,25","-1,25",83,"24,15","2,75","4,64","118,5",20
318,2,"72,27925873","0,1","-2,75",-1,50,"0,8","44,25",44,125,"-2,75","-0,75",43,"24,6","3,17","4,26","118,6",17
319,2,"80,96646118","0,1",0,-2,95,"0,3",45,44,180,"0,25","-2,25",94,"23,5","3,02","4,8","118,8","19,5"
320,1,"79,16495514","0,16","-2,5","-2,5",80,"0,7","44,5",43,177,"-2,5",-3,82,"24,16","3,04","4,89","118,5","17,5"
321,2,"68,97193909","0,4","2,5",0,0,"0,9","41,75","41,25",13,"2,75","-0,25",113,"22,66","2,31",0,"118,5",26
322,2,"74,51882172","0,5","1,75","-1,5",75,"0,8",46,"44,75",167,"2,25","-2,25",73,"22,64","2,46","4,8","118,5","21,5"
323,2,"65,87268829","0,05","-2,5","-0,75",100,"0,4","45,5",45,52,"-1,75",-1,86,"23,23","3,25","4,49","118,8",20
324,2,"41,58795166","0,16","-1,5",0,0,"0,3",44,"42,5",96,"2,75",0,0,"23,25","3,12","3,88","118,5",22
325,2,"63,19507217","0,1",-2,0,0,"0,3","44,25","42,75",147,0,0,0,"22,14","2,27","4,68","118,5","25,5"
326,2,"71,44421387","0,05",4,0,0,"0,8","44,5","44,25",128,"4,5","-0,25",78,"22,1","2,51","4,25",119,25
327,1,"72,92539215","0,3",-1,"-1,5",75,"0,8","43,75","42,5",2,-1,"-1,75",75,"25,15","2,97","4,46","118,5","16,5"
328,2,"78,82272339","0,16",0,"-1,5",60,"0,4","42,25",41,142,"0,25","-1,75",61,"24,51","3,09","4,2","118,5",20
329,2,"84,14510345","0,3",1,-1,115,"0,4","43,25","42,25",21,"1,25","-1,25",116,"24,41","3,08","4,47","118,8",19
330,2,"63,92333984","0,03",-7,0,0,"0,4",48,"46,5",62,"1,75","-0,5",126,"24,8","2,52",0,"118,8","19,5"
331,2,"68,12867737","0,1","-1,5",0,0,"0,2","45,25",45,118,"-1,5","-0,25",103,"22,89","3,4","3,9","118,5",21
332,2,"62,63928986","0,1",-1,0,0,"0,2",42,"41,5",85,0,0,0,"23,65","3,23","3,78","118,5",22
333,2,"68,11225128","0,3",0,0,0,0,"42,25",42,132,"1,5","-0,5",37,"24,14","3,13","4,11","118,5",20
334,2,"88,00547791","0,2","-1,5",-1,90,"0,4","44,75","44,5",94,"-1,25",-2,87,"23,53","2,77","4,87",119,20
335,1,"51,47980881","0,16",-2,0,0,"0,8",41,"40,5",82,-2,"-0,5",155,"26,05","4,04","3,76",119,17
336,1,"72,01642609","0,2",-1,-2,90,"0,5","42,75","41,75",179,"-1,25","-2,25",92,"23,85","2,81","4,45","118,5","21,5"
337,1,"29,04312134","0,01","-16,5",0,0,"0,05","45,25","42,5",87,"-5,25","-2,75",179,"29,42","3,34","3,91","119,2",7
338,2,"77,75222778","0,2",2,0,0,"0,4","42,25","41,75",48,"2,25","-0,5",68,"22,97","2,55","4,78","118,6",23
339,1,"54,16016388","0,1",4,0,0,"0,8",44,43,67,"4,5","-0,5",125,"21,84","2,79","4,6","118,5",26
340,1,"72,47090912","0,2","2,5",-1,120,"0,3","40,75","40,25",111,3,-1,121,"24,65","3,3","4,45",119,21
341,2,"71,43600464","0,16","5,5",-1,85,"0,9","44,5","43,25",3,6,-1,87,"21,62","3,17","4,27","118,5",27
342,1,"70,86379242","0,05","3,5","-0,75",70,"0,5",43,"42,75",135,"3,75","-0,75",72,"22,57","2,47","5,04","118,8","24,5"
343,2,"73,13072968","0,03","-5,5",0,0,"0,3","45,25","44,5",112,"-5,5","-0,75",3,"24,43","3,6","4,76",119,"16,5"
344,1,"66,37918854","0,05","-2,5",-1,75,"0,5","44,75","44,25",77,-2,-1,66,"23,31","2,41","4,74","118,5",21
345,2,"66,56536865","0,16",1,-2,5,"0,3","44,5","41,25",87,1,-2,2,"24,91","3,37","3,87","119,2",18
346,2,"42,631073","0,1",-1,"-2,5",170,"0,3","46,25","44,25",84,"-0,25","-2,75",171,"22,68","3,76","3,54","119,2",22
347,1,"75,8028717","0,16",0,0,0,0,"41,5","41,25",50,1,"-1,75",63,"23,03","2,54","5,45","118,5",24
348,2,"52,78302383","0,1","6,5","-3,5",155,"0,9","44,75","41,5",66,"6,75","-3,5",153,"21,86","2,81","3,8","119,2","27,5"
349,2,"72,72005463","0,2",-1,"-1,5",65,"0,6","45,25","44,25",99,-1,"-1,5",63,"22,76","2,77","4,99","118,5",22
350,1,"71,173172","0,03","6,5",0,0,"0,5",43,"42,25",68,7,"-0,25",155,"22,45","3,2","4,24","118,8","25,5"
351,2,"73,13620758","0,05",-3,0,0,"0,2",44,"43,75",86,"-3,75","-1,5",169,"23,1","2,61","3,23","118,5","21,5"
352,1,"57,47022629","0,1","5,25","-0,75",20,"0,8","43,5","42,75",104,"5,5","-0,75",20,"22,24","3,07","4,52","118,5",25
353,2,"71,79740143","0,2","-1,75",-1,45,"0,6",45,"44,25",110,"-1,25","-1,75",48,"24,08","3,14","4,98","118,5","17,5"
354,1,"40,31211472","0,1","1,75","-5,5",0,"0,7",44,"39,25",93,"2,25","-6,5",3,"25,21","4,07","3,68","119,2","18,5"
355,2,"68,05749512","0,2","1,5",0,0,"0,8","44,25","43,75",16,2,"-0,25",78,"23,69","3,44","4,31","118,5",20
356,2,"71,45790863","0,2","1,5","-0,5",105,"0,5","42,5","42,25",167,2,"-0,5",105,"23,26","2,79","4,84","118,5",23
357,1,"65,90827942","0,2","0,5",-3,100,"0,3","43,5","42,75",180,1,-4,96,"24,94","3,54","3,85","118,8",17
358,2,"67,53456879","0,03",-5,0,0,"0,2","42,5","42,25",68,3,-1,119,"23,63","3,46","4,01","118,5",22
359,2,"64,4407959","0,04",-6,"-0,5",170,"0,25","44,75","43,75",90,"-5,5","-0,25",150,"23,62","3,38","4,06","118,5",20
360,2,"75,52361298","0,2","-0,5",0,0,0,46,"45,5",74,0,0,0,"23,02","3,95","4,34","118,8","20,5"
361,2,"73,81793213","0,1",-2,"-0,5",150,"0,3","44,75","44,25",63,"-1,5",-1,153,"22,48","2,55","3,98","118,5","22,5"
362,2,"74,60095978","0,05",3,0,0,"0,6",45,"44,5",81,"3,5","-0,75",105,"22,16","2,69","5,2","118,5",24
363,2,"62,25598907","0,2","-1,25",0,0,"0,4","44,75",44,94,"-1,5","-0,25",26,"22,77",3,"4,48","118,5","22,5"
364,1,"63,91786575","0,1",-2,0,0,"0,6","44,25","43,5",128,"-1,75","-0,25",65,"24,2","3,87","4,16",119,19
365,2,"83,03627777","0,2","2,5",-1,75,"0,4","45,75","45,5",115,3,"-1,5",77,"22,6","3,26","4,19","118,5",22
366,2,"67,01163483","0,03",0,0,0,0,45,"42,5",95,1,-3,1,"24,74","3,33","4,54","118,5",17
367,2,"65,78781891","0,2",1,-1,95,"0,5","44,5",44,10,"1,25",-1,97,"22,74","2,52","4,77",119,"22,5"
368,1,"84,49281311","0,04",-3,-1,70,"0,4",46,"45,25",171,-3,"-1,25",72,"22,51","2,45","5,1","118,5","21,5"
369,2,"81,13894653","0,2",2,"-1,5",175,"0,6","46,25","45,5",90,"2,25","-1,5",174,"22,5","2,85","4,82","118,8","21,5"
370,2,"55,66324615","0,02",0,0,0,0,42,"41,5",24,0,0,0,"23,07","3,17","3,82","118,8","24,5"
371,1,"73,48665619","0,2",4,-2,65,"0,7","44,5","43,25",144,"4,5","-2,5",63,"22,45","2,25","5,33","118,5",24
372,2,"78,20397186","0,1",3,-2,65,"0,4","42,5","42,25",19,"3,25","-2,5",63,"23,23","2,35","4,3","118,8",22
373,2,"82,08350372","0,4",0,0,0,0,42,"41,75",105,"1,25",-2,29,"24,63","3,44","4,83","118,5","19,5"
374,1,"48,84873199","0,05","7,5","-0,75",20,"0,3",43,"41,75",97,8,"-0,75",21,"20,95","3,13","4,14","118,8",33
375,1,"58,76522827","0,2","2,75",0,0,"0,9","44,5","43,75",77,3,"-0,25",1,"22,92","3,28","3,87","119,1","22,5"
376,2,"71,23339844","0,5",0,0,0,0,46,"45,5",140,"0,5","-0,75",74,"23,14","3,11","4,58","118,5",19
377,2,"72,64613342","0,2",-3,0,0,"0,3","46,25",45,107,-3,"-0,25",43,"20,94","2,82",0,"118,5",21
378,1,"71,78918457","0,3","0,5","-0,75",75,"0,4","43,5",43,156,"0,5","-0,75",76,"23,12","2,31","4,34","118,5",22
379,2,"68,88980103","0,2","-1,5",-1,105,"0,4","41,25",41,15,"-1,25","-1,25",105,"22,92","2,47","3,99","118,8",26
380,2,"61,6919899","0,1",-2,0,0,"0,8",43,"42,75",156,"2,75","-0,5",25,"22,36","3,21","4,05","118,8","25,5"
381,1,"70,27789307","0,1",0,0,0,0,"44,25","43,5",164,"-1,75",-1,60,"24,42","3,49","4,66","118,8","17,5"
382,2,"68,56125641","0,03",-4,0,0,"0,1","45,25","44,75",87,"-1,75","-1,25",115,"22,63","3,13","4,35","118,5","21,5"
383,1,"70,81177521","0,03",-5,-1,20,"0,3",42,"41,5",70,-5,-1,20,"23,88","3,57","3,92","118,8",22
384,2,"43,59753418","0,05","-7,5",-1,120,"0,5","37,5",37,167,"-7,5","-1,75",120,"30,33","3,72","3,67","118,8",16
385,1,"74,74058533","0,2",-1,-1,65,"0,6","43,5",43,150,"-0,75","-1,25",67,"24,7","3,45","4,24","118,5",18
386,2,"58,5516777","0,03","-9,5",0,0,"0,2","45,5",44,85,"-9,5","-0,25",149,"23,51","3,24","4,32","118,5","19,5"
387,2,"57,99315643","0,05","1,5",0,0,1,"41,75","41,5",4,"2,5","-0,5",81,"23,15","2,85","4,65","118,5",24
388,1,"57,74674988","0,5",0,0,0,0,"42,25",42,155,"2,25","-1,5",114,"24,19","3,53","3,63","119,1","20,5"
389,2,"69,40451813","0,1",4,-1,65,"0,8","43,25","42,75",144,"4,5",-1,67,"22,59","3,01","4,21","118,5",24
390,1,"50,04243851","0,2","4,5",0,0,1,41,"40,5",69,"4,75","-0,25",111,"22,76","2,83","4,78","118,8",26
391,1,"75,45243073","0,05","-6,5",-1,90,"0,3","42,5","42,5",180,"-6,5",-1,90,"23,77","3,27","4,64","118,5",21
392,1,"75,22245026","0,05",-3,-1,85,"0,3",44,"43,5",25,"-2,75",-1,84,"23,31","2,17","5,44","118,5",21
393,2,"70,20123291","0,2","2,5",0,0,"0,8","45,5","44,75",90,3,"-0,25",61,"22,59","3,17","4,82","118,5",22
394,1,"45,24298477","0,05",10,"-1,5",8,"0,5","43,25","40,75",95,"10,5","-1,75",8,"20,19","3,32","3,79","118,8",36
395,1,"58,80082321","0,2","2,5",0,0,1,"43,25","42,75",105,"2,75","-0,25",90,"22,63","2,74","4,26","119,1","24,5"
396,2,"79,30732727","0,2","-2,5",-1,70,"0,6","43,25","42,5",93,"-2,75","-1,5",71,"23,56","2,89","4,98","118,8","21,5"
397,1,"64,60506439","0,03",9,0,0,"0,16",43,"41,75",121,10,-1,44,21,"2,83","4,26","118,8",32
398,2,"74,09445953","0,3","3,5","-1,5",75,"0,7","44,25","43,25",158,4,"-1,75",73,"23,69","3,21","4,92","118,5",20
399,1,"84,79123688","0,1",0,0,0,0,"42,25","41,75",180,"1,25","-1,25",99,"23,69","2,88","4,9","118,5",22
400,2,"49,89185333","0,6",0,-1,90,"0,8","44,75","44,25",71,"-0,25","-0,5",83,"22,5","2,67","4,76","118,5",23
401,2,"72,83230591","0,05","5,5",0,0,"0,7",44,43,77,"6,25","-0,75",139,"22,21","3,02","4,61","118,8","25,5"
402,1,"72,81587982","0,3",2,-1,75,"0,8","44,25","43,5",11,"2,5","-1,25",83,"24,25","3,74","4,2","118,8",19
403,2,"73,1937027","0,2","2,5","-0,5",91,"0,5",45,"44,75",72,3,"-0,75",91,"23,09","3,34","4,62","118,5",21
